ID,Type,ITGB2,HBQ1,RPL36AP37,HBM,CD37,HBA1,BBLN,LYL1,PSAP,HBA2,HBD,AHSP,FKBP8,GPX1,GUK1,CDC34,SLC25A39,HBB,SELENBP1,ACTB,LILRA2,NCF2,SELL,UQCR11,LGALS3,ICAM3,RPS27,ND1
1058,1,4548.677784062803,2121.524431571122,1518.8224968476966,2204.955167644144,3660.7363787142153,3953464.9327429086,1858.4622127286354,6333.073935175593,5863.988878275236,8189971.498095922,4822.449785148133,1692.4520746241535,146005.490795871,16955.934972375155,27658.14034224824,3856.543208273348,62981.692394715734,15974079.009792013,3145.679283569541,12385.207636635909,3098.0216039229313,6148.334448156759,5710.748750794176,1303.6393045026257,5234.001687519766,13265.487035610442,36150.69969390817,110755.81751153021
1059,1,124879.23493508872,495.96688920732765,1934.0991638374874,258.1626958467083,19113.735744143614,1804154.8980130297,2409.5184945692777,4080.9098446754315,279357.48956629226,3653536.603612897,519.9614860011168,370.88161938541197,98530.88355005777,24548.75134963529,9127.808743763193,2977.961238006396,21634.63992767211,8457828.06678355,2881.8790768202657,608726.4504970387,27784.135944312493,111664.4561894706,170038.31420528828,2188.3591184605975,6610.419451398813,77493.6539171408,26102.272642600165,114076.9562813722
1060,1,5953.106937677158,1601.445160476704,774.6441687645831,5419.524780881528,2044.5279297244506,4576418.434807117,972.8291104420222,5715.523600558054,10306.82031098062,8540741.795350075,12906.17715394652,3786.9539713254376,126046.67263462412,18526.87738004449,26066.20533687501,5444.547361513977,85388.64094796346,16837639.561649367,8577.862702172284,1975.5632562740439,2653.5322344193437,5884.256340094893,12847.554103330294,911.4688602765009,6266.630681316615,4189.1461819786955,24510.539292818794,48380.84839634838
1061,1,4214.638702746682,1304.422962706651,1763.1949636474594,2973.7575684251838,3451.229021719337,4695783.17327583,4333.552695867468,4020.382255969212,2651.5097244719054,8890765.066173099,6819.86274394203,2644.2478012278875,47561.9662866929,20794.517209244234,19857.72911076597,2518.071884863083,34983.40748764901,14827167.027715834,2560.735683921686,6023.765330912552,3311.4369992719994,4935.3845847154225,3080.8709362744426,3002.805261401254,5047.0366545921925,15491.497760300423,49891.02846432231,115699.684344904
1062,1,10463.844887490191,3032.4601665087866,614.1256282635685,5257.274331714503,1427.6570730104781,6063617.470654259,1006.93527435188,4151.277138010876,17523.270634077515,11040319.124436487,12508.665099979682,5343.5164732677895,107622.03461808375,20343.821931812985,46272.40524637389,7265.31770869169,84470.68134840771,31620535.462947436,7522.878699006234,3686.26883423032,1443.9731538448834,2322.710650212149,21145.0444525179,1835.4075874057237,15243.88123671596,5090.617220334505,7840.704299316999,56368.318238622414
1063,1,8710.301612616435,2312.73384607891,319.8725492679862,3082.37352186682,721.0007371693428,5961737.078763722,858.3342109158842,4362.245200810283,14585.587505595464,9651614.949536093,12116.198036054682,5039.3755227550355,105372.92255074912,23558.412975604635,30667.327651345746,5997.84872494444,72368.06473167578,25668529.010540504,8581.434699801252,2069.5391529860763,3379.0342405923443,7296.183390431564,17597.086831539968,1010.4977924176945,13320.393248735727,2688.4934895243086,6288.728651977045,78120.19144612859
1064,1,4452.411012131909,1422.3665959955247,2735.325445255644,2758.2546207232267,4776.9115557464065,5541143.263704064,2990.5113549853795,5992.553186139802,5941.489648819755,11027400.686654368,2872.3651545247208,1186.8154399707882,96550.44220148197,21136.99355662839,24184.35015912715,4080.964958400594,51185.43092526339,11530834.808032177,2597.65155979727,10890.53474166116,4776.9115557464065,5652.404139153032,2693.189790912198,2333.0600759353574,5650.75692827174,15825.578542011586,76870.8596523486,109831.09640400643
1065,1,5370.085876471917,697.6065124217249,1766.3396894518075,2405.50557687548,5899.475215685567,5349756.712348186,2472.79244615871,9801.124121329342,5547.208664732185,11455145.817728043,592.718157362572,311.6965268267282,137030.69880808188,24030.753334790148,28170.439435651188,4428.069706506694,65239.567334009575,9135036.559602892,1680.1927065136015,11662.397667237517,5408.676875031417,8807.653286618119,7211.569166708556,1795.9657021921005,3526.6235606681244,21938.487924683777,99410.30344286498,455816.49102146854
1066,1,14367.79047222348,861.8127053663054,1115.6158395328848,2034.953481636695,3925.5639485814963,6857687.098546036,3484.0441389357043,6157.220165925772,23401.965038821992,11956754.096062247,2879.7988071387276,1200.0282005757422,131555.92174330578,14387.60225855374,18238.164444599253,2881.199783457796,54339.48452111784,9122153.035029542,6252.033714792015,53738.055293234946,3864.7134619956983,14846.103599339755,17714.567234442384,2373.168976846132,2501.945587992821,26874.68815699755,66251.66068280941,69915.79395948717
1067,1,8885.6453443439,1907.8415601583154,5168.115225943612,1569.19698701546,6645.630126453103,5468536.252745419,7602.247121286583,4239.528079696064,6617.589493008153,12054149.41527716,811.0537526771384,528.4580918471308,124981.41720774818,27647.44983975652,26514.575894003494,3267.8122822383807,43792.998525601215,7638593.1423061695,2358.839889848067,13570.588101453975,7448.023637339359,12505.044030545883,5605.969717186503,5129.278948622356,4934.073000409437,33400.70837654213,338688.6077222229,323394.6638589603
1068,1,53237.705241477146,1020.6515206557532,1935.5264291708193,561.0683785422962,12742.196328186668,2425765.709580627,919.1662842269141,3723.058387846554,112523.93057411311,4637181.957662664,13757.338650293428,3021.360467395724,116874.74763872662,12514.5794407677,18586.29615739596,2571.9258489251506,44238.63238216811,11613688.90787471,5422.211203483689,177844.17810698948,7527.304964836179,39008.02530506207,51419.66972030909,1789.0397393312492,4617.578257512178,22164.37563605846,41433.05852320193,32280.105049684935
1069,1,2054.495369151639,1568.451328511874,334.5869617917226,4815.6731921282,1131.9709893847164,4662975.40592497,2431.819032279878,5093.8694522312235,2703.6199760586937,7557017.556342603,4331.243968860297,3896.346470523381,129329.28436628489,10734.538450182183,22533.897068344904,4190.531021436923,65908.53120820079,11328607.361694926,8996.611239078811,2797.9508918407537,2083.2742926105725,1797.0838871022897,149866.02119831395,1307.8421883004207,4854.045090073445,7842.2566425593695,71135.10347415932,49968.20527011376
1070,1,2682.89560705885,3709.189901244817,944.6816439678237,8955.203146079333,1716.1630353033192,2495801.8430570257,1826.7776626741281,4376.150287581233,4262.917562521174,4011774.499563678,15902.201004863744,12769.116954894147,192699.84422186148,27700.782601108724,43415.91398083134,7719.461036753374,92717.9660915188,21457740.282418318,13413.823510871938,10812.74345660215,2394.9048612413594,3899.656508137748,5068.637126387835,2015.0123412869739,15048.170993386198,6826.03520029684,12835.77372206245,99046.54964036972
1071,1,8630.335357532987,939.2937888017821,1808.3929595267405,1236.073910996482,8103.321171470749,3495988.240217906,4470.82426347428,4953.474410651744,11741.172360022276,7142231.391556654,728.9470527101778,354.9123110781978,208469.67830844503,13179.638075999988,32246.537091454014,4582.499257908368,34058.578610730416,4441456.799527004,1050.2038860137188,20977.306317499082,6303.518007748768,11718.225443357738,24332.910431076787,3863.5264649750434,3487.1664357877235,23089.95244508094,91212.2038820413,499840.8374456743
1072,1,2978.353622386859,1003.5756771086157,1404.9915597703111,1882.6935820740123,3287.699530026074,4056465.6491902373,1617.951037861847,5079.028157983388,2866.1258047317024,6535930.306329184,5482.631044271185,2422.2503977238057,124064.97478142595,20752.65726033949,26127.49924102559,6068.935062428875,74832.93328518867,11146433.742303986,7729.331236455173,6422.88433349514,3089.862030954483,5270.390975267182,2825.119486742318,1416.847421532856,8315.649642794615,15606.141335854622,56823.922432428386,74835.02676563339
1073,1,113472.51253495971,743.2111304755034,2527.062914586615,329.84016327794325,21829.421715122062,2191016.096481699,1611.7189796535863,3969.326510356158,288537.0532865649,4201796.020824452,3729.648905346975,1313.7383776013535,111838.30445326444,18670.714887858187,11340.129704516106,3965.578326682545,43857.49716494561,11894915.030723993,4445.345836905008,538520.4204927752,16581.364862676095,93050.53378927932,158898.62456731236,1812.1905834367772,8073.587632962383,45394.252471126936,43791.6040959635,49892.07287946253
1074,1,8231.424002177351,1011.355695070322,3681.678590992296,1931.689377584315,5319.730956069894,4090420.553884875,4228.478161089016,5653.4783354431,6261.303108180364,8760008.520187337,1013.3784064604627,573.4386791048726,126518.57474190714,25269.733397027067,21939.339093160495,3785.504366648215,46592.145516194665,10618015.103270127,1886.1783713061504,11445.512401110835,4852.565533403011,8033.1982859435675,2808.534765210284,2189.898600092719,5882.044722528993,30471.135736773733,125818.50421622251,307064.984341305
1075,1,4789.584151195232,1541.5608083640927,1569.1142648117052,2275.5086548715035,4017.114180147377,3435988.9069318664,2038.293466911926,5917.538990809292,4193.504960937832,7213146.948584601,2907.893257941407,2194.4094453126736,134011.0371819959,24206.762399818093,18890.033386490468,4121.867325827532,68836.33324678853,14308528.3697988,4311.098814798135,8823.5940000007,4551.693136489331,5415.39971829087,5057.211542739371,1371.4687328493733,3677.1733267466147,16663.860084100583,38123.31241917122,104311.66861638695
1076,1,9479.420814158493,1162.969901271369,2295.4467497479777,2241.2619011333586,7110.241232172669,2289660.600645226,6139.14785218,4615.84645554957,7266.98543265386,5176880.017453436,2655.6611373710466,1498.9790206936932,184982.4789437427,22753.1322744479,19374.123676718307,3324.958873425734,45505.3637201574,9755486.969653787,2607.8991976612033,23410.737253478186,6348.140119488255,9946.050100648477,18335.468141345813,3092.166710849013,4428.474077962858,27183.408009887553,75853.86953555464,271734.0520757639
1077,1,7112.707537196528,1969.5944568342886,1429.1025756493293,2981.145555622403,4670.461370475098,5932553.075952843,2722.5248087030236,5391.541876664107,5755.904111240178,13238158.235273326,849.7666226733758,561.831277790376,145486.27308350924,12108.546931135714,28520.899809281513,5892.221450749408,63272.903427344725,8302430.481958577,1533.8885679356297,12792.172018805364,3342.7559635317466,5878.207518650328,6657.891740890034,2139.0356358504337,3458.8932408183014,19244.95075351796,65913.90537104593,330300.28971450526
1078,1,4807.3595210122785,2511.3707432240517,1999.8087793898944,4230.16990612892,3317.56331740479,3630332.4604370473,4729.890118424689,11854.521220133873,2828.910162621534,6408350.23127378,7764.62201141547,3276.7003358201273,220975.08604022616,16273.120550095067,30582.53646765452,7262.543664557419,53728.01028690046,11356171.816147208,3818.134841816906,5439.8844234582,3220.513736141216,5055.091346869295,5312.18760600613,2309.1585762281165,4966.554886769192,12309.97320237959,76486.97137908248,68230.96350099027
1079,1,4110.667246595386,2763.4511821311767,1378.0326235435707,6592.664107873761,2716.840912435808,5429678.540515589,3882.0976548200215,9746.0281230335,3292.2984729055506,12630310.334160807,2087.620198575139,1986.314570094936,163210.3410950344,23679.54976603912,19893.62164651941,4378.676297343755,42746.99541869472,14326638.017797373,1519.3155218009551,5456.986959719301,4268.425082487403,4004.8977884405117,3897.335627605046,2048.8997421443073,2263.2871342462604,16002.560478296431,90211.38934271748,58896.60233436664
1080,1,4642.64353590036,1523.8555751247648,1611.0925967473609,3330.4562646499216,3371.0715849505305,4729346.676948243,2934.456891718986,4668.418643014207,4853.530775922752,7901293.890350349,2022.2289871287928,1580.0921724640693,132009.94480705375,14634.231027728665,35237.69568003781,6325.83613681982,61795.428773524356,8790669.741186175,3361.6988187273128,8324.578533920934,4303.661824160663,5885.316124328602,3735.8284038040747,2083.0972931100705,4887.116521555948,13148.428883470164,51811.04269041089,159953.1602036563
1081,1,5294.812091061345,886.1512878077631,7571.2440410399495,2107.2258969916884,9351.105649950423,3998989.399676226,6963.614056946044,6317.025978178174,9099.913158918302,6604187.5476802075,644.2622223694235,1060.590517691181,153427.44317986062,16501.951146971336,24726.17937187488,4310.974834518868,51289.78529852176,4302312.182362858,4608.684453519902,17977.707031785052,3148.046635296082,5404.127341788288,6348.42503955719,2977.0961900103325,2278.176342277438,20441.951885938135,225803.08207894818,193390.72647210414
1082,1,1720.9269975108452,1729.7912278144331,1297.5586950253407,2556.697283277702,1410.0457775778707,5020012.926808595,1335.966138612172,8400.757690571705,1258.0875438020787,3872365.74010832,9696.676502990882,3158.8317846142777,173123.4831035303,21888.95041609545,20111.672240226082,5100.098221100022,87766.01055443831,10732845.03363593,9439.772114013684,3779.961065172828,1433.4726719516386,1631.0183758601684,1677.239005300305,940.8430728297427,5692.102173518212,7187.624457594965,24961.944793405626,124359.87694230721
1083,1,2038.8255043794088,1392.6259590068923,1156.4334313003255,6127.6860970885655,2219.4976221672346,2601782.685930576,1690.6690146276856,4736.378912664066,1643.1931296615417,4432866.232868926,12213.151625921824,7107.535611806484,192781.7653906487,26874.225819427153,33107.17650368232,5641.058276185589,83601.7364889237,14094723.171941867,11450.919698917469,5020.574835169734,1446.6957168850008,2235.982304447146,2876.247364198894,1885.5113653033231,12215.149569414149,6919.610233815496,24006.23398411404,104582.37188738286
1084,1,69106.21643780608,330.9165427253249,2181.993659435062,753.3151330982653,16994.202110539125,2575055.0752413278,1281.8780750622655,4593.3023183068135,171596.60381901788,5779198.456738477,1248.0071292727348,557.9275498508891,155138.8705064123,11203.727316843764,21617.998444728477,4368.550127172549,56166.58903164892,6657190.384118733,2514.0621983159494,406317.94380192226,20221.91463314613,82491.96000224481,194565.37422654327,1346.0284492151611,4860.972013275763,47737.81716011615,43452.7076956622,83447.99257648223
1085,1,13399.263841878412,1011.1553391684027,776.2218385804273,1931.1320260640002,5672.9502042019985,2424085.508574558,993.0412320047973,3120.1549589310343,29016.211946501087,5027970.842658889,6639.5189624519835,3006.9417891585003,154437.64301490632,22432.367986281242,14700.2448956645,2895.669416582067,52503.73961371032,12168249.122189555,5027.311670299205,75966.83911354463,5751.57836794002,16895.28652445426,40387.989650853095,1332.3184591791269,5355.306396440204,18744.219319939413,28193.90264383726,24269.66246791378
1086,1,30362.114718204597,314.3767064187703,5526.236481540555,848.3864543081884,18036.825214498833,2610873.7088948153,3637.9414074966608,3969.5442348150896,72312.02563909831,2648795.011518859,599.6951001449289,361.7485388928316,113999.23821627225,20484.796956572634,9530.351387736147,2935.976980835571,28787.001288442058,7847246.318654767,1557.8873088628789,160512.99454301927,11380.016885662557,26339.8154881343,61798.7087275254,3097.7194897578033,7591.33615396832,27649.00067650836,162267.75488111412,58282.41603255701
1087,1,17310.459835102905,415.59274635598126,3531.829792458283,693.5629767055556,16053.46210227211,1476964.2558631166,5522.61442944522,3775.7622955817183,28987.93470812179,3046948.7830082234,1312.6190308840783,631.5647145442534,58758.682638478036,24768.64638323229,7814.506230660828,2567.136833228422,15234.540002075568,3845477.2021014085,1563.6394741280762,99301.45829446448,8790.127235221098,19789.02772238661,57703.34958256752,2896.204532392256,2361.3843588030018,31786.713399974855,160280.1420020344,115964.45188272814
1088,1,7389.598663915496,1515.0392019111487,928.117856760656,2448.0693362439133,5189.664909342783,3981239.966496773,1850.930050270944,4773.079562878533,16807.655273931738,7128280.243998841,6015.018322767415,4250.582687652184,147853.5028331146,22014.46776412172,19016.667159541204,6563.488739571135,49179.2618697603,19450817.428710036,5404.514010545896,31674.607868451327,3805.7542668513743,6232.641297342869,23793.78144732496,1879.9296355272327,3616.1221963059043,17221.214576717073,36751.45178263182,29969.92650918245
1089,1,31631.54771305167,743.1376218497802,1508.5167918629418,1282.0876659979108,10651.931360358583,3065894.5844063847,1423.178653165145,3553.5649252368617,69199.43298554957,6693447.868689373,2451.048403216826,1191.824487872289,248454.21766921785,11618.9041371292,19099.863759688633,4133.7030215394025,56807.95491440322,11864597.08149174,3321.3344184088055,186733.65861337393,6678.598839760819,34937.10798382687,59032.11849415671,1407.3081079626693,3875.1822686553396,25516.436480424585,51271.737373098695,53718.82471257642
1090,1,29204.246114147132,736.0028530968714,1988.7933043634014,988.515729062904,10934.3360629965,2725046.4063188876,1474.3722748532182,3482.8002105280675,60396.40990225366,5416570.612121733,2393.1294483969837,1010.524817596026,178249.1625754726,19147.252273153576,14910.17141091529,3849.6183527467656,63794.00575247841,11537397.181969889,3104.9380812318173,143137.25111667687,9374.144119988501,29037.0085955442,42583.247602381794,1491.2853522062696,4888.541994256497,21461.62231656322,58496.015825883864,35407.09356769212
1091,1,26565.574933502976,411.63371916261997,1202.7838679028962,448.6232401939596,7467.742262413279,4344771.2371500535,1112.4791531860028,3606.108569670138,72869.02778206307,7676335.053266496,4802.64809372945,1991.6170364275265,130238.9368449971,12969.13243223985,9547.273087164958,3403.989018943582,51211.01413510367,10627305.22476233,4180.423878441937,161859.6039045902,12413.936318368082,36480.1140335735,61277.55371031409,1395.117874527203,4953.572241180511,26575.43442378232,23008.76381522956,29520.957144736396
1092,1,10567.442739351807,641.3257168442806,1012.0274687387496,914.4699299459062,3526.939452678206,3693030.514811486,692.7162517835039,2616.693402316346,23957.845000707526,6816710.509522603,14871.84354786809,5072.879380438953,148111.0415944951,19038.43324515557,21624.15153052225,4648.379482242354,81367.40834719609,15053208.221935473,8883.5227451789,63786.21355853631,3607.868985508523,14497.762692306384,20499.191601304727,1134.7100512573586,6959.545594646057,10637.136752488563,20667.28088935183,23934.14903624103
