ID,Type,ITGB2,CD37,PSAP,ACTB,NCF2,RPL36AP37,ICAM3,LILRA2,UQCR11,HBA1
1058,1,4548.677784062803,3660.7363787142153,5863.988878275236,12385.207636635909,6148.334448156759,1518.8224968476966,13265.487035610442,3098.0216039229317,1303.6393045026257,3953464.9327429086
1059,1,124879.23493508872,19113.73574414361,279357.48956629226,608726.4504970387,111664.4561894706,1934.0991638374876,77493.6539171408,27784.135944312493,2188.359118460597,1804154.8980130297
1060,1,5953.106937677158,2044.5279297244504,10306.82031098062,1975.563256274044,5884.256340094893,774.6441687645831,4189.146181978696,2653.532234419344,911.4688602765008,4576418.434807117
1061,1,4214.638702746682,3451.229021719337,2651.509724471905,6023.765330912552,4935.384584715423,1763.1949636474594,15491.497760300424,3311.4369992719994,3002.805261401254,4695783.17327583
1062,1,10463.844887490191,1427.657073010478,17523.270634077515,3686.26883423032,2322.710650212149,614.1256282635685,5090.617220334505,1443.9731538448834,1835.407587405724,6063617.470654259
1063,1,8710.301612616435,721.0007371693428,14585.587505595464,2069.5391529860763,7296.183390431564,319.8725492679862,2688.4934895243086,3379.0342405923443,1010.4977924176944,5961737.078763722
1064,1,4452.411012131909,4776.911555746407,5941.489648819755,10890.53474166116,5652.404139153032,2735.325445255644,15825.578542011586,4776.911555746407,2333.0600759353574,5541143.263704064
1065,1,5370.085876471917,5899.475215685567,5547.208664732185,11662.397667237516,8807.653286618119,1766.3396894518075,21938.487924683777,5408.676875031417,1795.9657021921005,5349756.712348186
1066,1,14367.79047222348,3925.563948581496,23401.965038821992,53738.05529323495,14846.103599339756,1115.6158395328848,26874.68815699755,3864.713461995698,2373.168976846132,6857687.098546036
1067,1,8885.6453443439,6645.630126453103,6617.589493008153,13570.588101453975,12505.044030545883,5168.115225943612,33400.70837654213,7448.023637339359,5129.278948622356,5468536.252745419
1068,1,53237.705241477146,12742.196328186668,112523.93057411312,177844.17810698948,39008.02530506207,1935.5264291708197,22164.37563605846,7527.304964836179,1789.0397393312492,2425765.709580627
1069,1,2054.495369151639,1131.9709893847164,2703.6199760586937,2797.9508918407537,1797.0838871022895,334.5869617917226,7842.2566425593695,2083.2742926105725,1307.8421883004207,4662975.40592497
1070,1,2682.89560705885,1716.1630353033192,4262.917562521174,10812.74345660215,3899.656508137748,944.6816439678236,6826.03520029684,2394.9048612413594,2015.0123412869737,2495801.8430570257
1071,1,8630.335357532987,8103.321171470749,11741.172360022276,20977.30631749908,11718.225443357738,1808.3929595267405,23089.95244508094,6303.518007748768,3863.5264649750434,3495988.240217906
1072,1,2978.353622386859,3287.699530026074,2866.1258047317024,6422.88433349514,5270.390975267182,1404.9915597703111,15606.141335854622,3089.862030954483,1416.847421532856,4056465.649190237
1073,1,113472.51253495972,21829.421715122066,288537.0532865649,538520.4204927752,93050.53378927932,2527.062914586615,45394.252471126936,16581.364862676095,1812.1905834367767,2191016.096481699
1074,1,8231.424002177351,5319.730956069894,6261.303108180364,11445.512401110836,8033.198285943567,3681.678590992296,30471.135736773733,4852.565533403011,2189.898600092719,4090420.553884875
1075,1,4789.584151195232,4017.114180147377,4193.504960937832,8823.5940000007,5415.39971829087,1569.1142648117052,16663.860084100583,4551.693136489331,1371.4687328493733,3435988.9069318664
1076,1,9479.420814158491,7110.241232172669,7266.98543265386,23410.737253478183,9946.050100648476,2295.4467497479777,27183.408009887557,6348.140119488255,3092.166710849013,2289660.600645226
1077,1,7112.707537196528,4670.461370475098,5755.904111240178,12792.172018805364,5878.207518650328,1429.1025756493293,19244.95075351796,3342.7559635317466,2139.0356358504337,5932553.075952843
1078,1,4807.359521012279,3317.56331740479,2828.910162621534,5439.8844234582,5055.091346869295,1999.8087793898944,12309.97320237959,3220.513736141216,2309.1585762281165,3630332.4604370473
1079,1,4110.667246595386,2716.840912435808,3292.2984729055506,5456.986959719301,4004.897788440512,1378.0326235435707,16002.560478296433,4268.425082487403,2048.8997421443078,5429678.540515589
1080,1,4642.64353590036,3371.0715849505305,4853.530775922752,8324.578533920934,5885.316124328602,1611.0925967473609,13148.428883470164,4303.661824160663,2083.0972931100705,4729346.676948243
1081,1,5294.812091061345,9351.105649950425,9099.913158918302,17977.707031785052,5404.127341788288,7571.244041039949,20441.95188593813,3148.046635296082,2977.0961900103325,3998989.399676226
1082,1,1720.9269975108452,1410.0457775778707,1258.0875438020787,3779.961065172828,1631.0183758601684,1297.5586950253407,7187.624457594965,1433.4726719516386,940.8430728297428,5020012.926808595
1083,1,2038.8255043794088,2219.4976221672346,1643.1931296615417,5020.574835169734,2235.982304447146,1156.4334313003255,6919.610233815496,1446.6957168850008,1885.5113653033231,2601782.685930576
1084,1,69106.21643780608,16994.202110539125,171596.60381901788,406317.9438019223,82491.96000224481,2181.993659435062,47737.81716011615,20221.91463314613,1346.0284492151611,2575055.075241328
1085,1,13399.263841878412,5672.950204201999,29016.211946501087,75966.83911354463,16895.28652445426,776.2218385804273,18744.219319939413,5751.57836794002,1332.3184591791269,2424085.508574558
1086,1,30362.1147182046,18036.825214498836,72312.02563909831,160512.99454301927,26339.8154881343,5526.236481540555,27649.00067650836,11380.016885662557,3097.719489757804,2610873.7088948158
1087,1,17310.459835102905,16053.46210227211,28987.93470812179,99301.45829446448,19789.02772238661,3531.829792458283,31786.71339997485,8790.127235221098,2896.204532392256,1476964.2558631166
1088,1,7389.598663915496,5189.664909342783,16807.655273931738,31674.607868451327,6232.641297342869,928.117856760656,17221.214576717073,3805.7542668513743,1879.929635527233,3981239.966496773
1089,1,31631.54771305167,10651.931360358583,69199.43298554957,186733.65861337396,34937.10798382687,1508.5167918629418,25516.436480424585,6678.598839760819,1407.3081079626693,3065894.5844063847
1090,1,29204.24611414713,10934.3360629965,60396.40990225366,143137.25111667687,29037.0085955442,1988.7933043634011,21461.62231656322,9374.1441199885,1491.2853522062696,2725046.406318888
1091,1,26565.574933502976,7467.742262413279,72869.02778206307,161859.6039045902,36480.1140335735,1202.7838679028962,26575.43442378232,12413.936318368082,1395.117874527203,4344771.2371500535
1092,1,10567.442739351807,3526.939452678206,23957.845000707526,63786.21355853631,14497.762692306384,1012.0274687387496,10637.136752488565,3607.868985508523,1134.7100512573586,3693030.514811486
1093,1,18892.22587505993,7810.246671842004,34550.47723987926,96224.42896231932,22704.527409023256,1255.5737698164892,21748.620173947274,8658.543546682307,1629.0509428730352,3165145.1743788794
1094,1,10276.724702675569,4805.3535020873205,20757.55160327884,51490.28481549664,12073.361155486533,1453.700001038491,10392.203577818873,3985.372921912775,1129.213313736589,5310663.529035984
1095,1,46610.50596957469,13771.943414970548,96449.89615156683,257051.96979220715,49563.95131369275,3169.039910401656,44788.90605905674,15364.477715393954,2042.7379733526232,2957972.540683467
1096,1,17704.586488392255,8469.779514149803,43862.550677088526,106875.390577262,26513.53208171024,2156.733080488763,12944.545798719297,6674.700571169922,1034.280807743177,2991601.6723238416
1097,1,19074.573678567875,6949.346869606548,43118.776433185245,122424.41208036934,14836.26368473113,927.1121552659336,18092.70337156525,6274.746774802753,2182.62797386514,2075677.80151136
1098,1,23647.41732978664,8368.240137827956,55940.515789538025,138497.43646221588,26737.63774220384,2186.6408492763862,25264.1014089667,11454.09233036896,2012.546626710552,2923107.557072251
1099,1,31079.826829383663,13040.062130283954,57290.20209860933,137071.82274471896,38032.414453683,1568.3893583721626,34038.63690443359,11461.437506839562,3111.978220636382,2512806.947404852
1100,1,14741.984694689208,7239.396980868519,24412.86761011168,49398.36777727411,18361.683185123467,2729.629277815337,18737.19799657405,7618.215441686707,2117.407989176176,5990288.024939777
1101,1,11111.619687818096,6684.817284518215,12403.406770095726,35414.41922639905,19700.75781733675,1398.9804907541215,18067.334450075927,6897.837556331266,2481.678128121214,5720079.365435573
1102,1,10662.568789285287,8284.375407687454,15854.927206217371,23204.29422444496,9644.387610538177,5762.987730511247,23155.852929585355,2934.811279135527,4411.265386988385,4078423.495153604
1103,1,11761.631815215262,5849.444217693393,16979.2391904254,33825.28629384649,12684.069574798828,2011.4536888064856,20112.00513765073,6172.000228064242,1841.5732360182624,4638497.130102735
1104,1,22675.17363400324,12336.151134059848,25520.948081812618,43367.49658659147,21860.437957976283,4125.489501000197,34010.975706917176,12176.309453567024,3194.513442542495,1521350.502223109
1105,1,7903.957938737993,3746.97087992822,7415.260616787485,20721.9903795937,8692.517839273516,1609.7899601431232,15654.050531030029,4874.795127027846,1912.5899680693803,3641118.419286945
1106,1,3219.6495410287266,3273.3615209791583,4287.750628043023,8412.830688236168,2587.382805612218,2056.0945925025203,7739.128996857898,1522.3509745950892,2061.4811367775496,7309448.19660883
1107,1,10974.231683000336,7729.618135489887,18947.696890180265,36785.27720284923,11960.754539244075,3210.8201291278324,22775.761878629448,6772.045159903413,2601.581025265164,10771456.06309385
1108,1,6814.375907768139,6072.335245442267,8170.774425186752,14847.289910652453,6593.244089444094,4016.086906348729,14887.075133196113,2317.7205226013834,2613.6578116848373,4529261.595611843
1109,1,9069.002732107803,9361.172319883335,13842.084791697,17045.67293504478,12166.881275858406,816.078108890206,18761.98573961561,4988.905825433433,3294.6158541120144,7319682.501473753
1110,1,7952.143896388212,7853.741497051622,8114.097845296351,17749.332780337496,8271.951694232132,1394.361998599486,17245.02048373747,3165.277178660325,2451.8597834700445,6380840.320438632
1111,1,4693.616686474295,2279.300401411891,6913.393956384347,10820.14388007823,4519.402643054278,1914.2929447730517,11588.137454821474,3331.843580407828,1903.128728157219,4100913.7253502207
1112,1,3216.6276174834943,1384.2012676858192,3886.19841915676,8364.496638140294,2137.5672346216197,1030.3010829242044,6858.555224695699,2297.252360876637,2112.863471277712,3714402.891504626
1113,1,1908.8580352346023,2242.100427047879,2532.2620533795907,3371.7034396012464,3189.877267642292,1004.3393515090312,8023.159030272488,2292.783680555601,1603.9665883522089,3841821.982483888
1114,1,12282.619227498328,4630.77740776627,19460.49975075696,34629.01665011569,11913.982663574554,1226.9804718371454,20083.671085009057,3126.389144515438,3313.103719879548,5861181.811117383
1115,1,4675.754758305922,3444.835133561201,6212.59198119097,9284.81658052438,4652.557215318979,1952.0297469582465,17361.911079290985,3730.45488158795,1969.5003965202889,8133405.026527115
1116,1,17979.544877028056,751.1517307176895,1733.9875064094092,3894.186227629535,17297.746132299166,334.9437295468898,3473.074976072964,963.8930550334658,710.468595273193,3390128.9551376905
1117,1,2504.995097856169,1731.4099923152962,52679.66155552959,3522.7534074415066,1984.462221961378,1104.0291420870478,10316.31787087864,1762.4865819209554,1771.3656075225724,5830485.402164171
1118,1,35524.75448966457,12075.268740646714,60205.76827313421,1944.8712971225293,26061.426581329764,366.6387569961436,2566.7682258885966,8650.126026395097,824.7969877534051,6630016.962022714
648,0,107173.58558565837,25867.82661739645,193670.05181093927,410247.86440017103,71958.26801661798,1021.0265556141673,50952.63999297985,19116.067822762885,2389.353010782501,3101062.717215576
649,0,120456.85727719846,26112.193190189217,228724.57877341373,425720.68883405766,69895.12644443882,1154.9200268558152,51962.1046094897,15041.238218154676,1787.571242072496,3200107.335660543
650,0,93998.5067622376,23122.03320122358,152007.67885996526,311857.8824813577,71750.78894943892,447.94976501901874,62118.18497985701,14737.6547598708,1245.774739241182,2563959.715986852
651,0,134127.43061204918,33763.34095897039,230812.676549022,472449.5595680949,87013.00422876797,1458.3789010856428,76490.47257695954,26150.922767150983,2242.02407916417,3246830.1052373517
652,0,104433.95935267124,17908.85714720776,178373.082901897,365370.47024271695,55192.55914369265,490.8098818078863,38328.92640238931,14799.556430795712,1232.225364322541,3495935.500594978
653,0,58135.94730722909,16162.729350561323,134338.98935006795,288380.4488423767,62425.3656416444,489.85111156842544,32646.72596549068,13875.598090218784,1446.534688902056,2662050.0423045857
655,0,98855.6018975502,27179.39032899831,252757.3670553472,380779.0109786975,75440.35211262408,809.2692317536037,67120.26920207773,21652.98789577884,1215.7844073719757,2519878.825602503
656,0,28991.111376272613,204228.2199598375,85552.53287117087,382903.5226071879,34512.42238600615,3602.552739882678,40857.701472028144,6454.593795028709,3879.4881686903623,798828.0612190131
657,0,119816.1380949538,32565.924749262183,203682.32545939065,402246.3474999528,89878.633666021,785.2245853453595,78505.9284397303,25455.113757277875,1753.1518003699507,2888559.4865059364
658,0,117019.88298042568,32152.77832352529,237395.2246952911,471175.6735651511,80108.09651842728,947.0991123935552,50852.25558174036,19601.55265823313,1755.3504562012158,2123123.457137356
659,0,100773.79064522532,21794.622540453733,186214.30926099143,384052.0774266372,54938.49002813164,747.5131404039073,42263.27188765025,14693.392867326567,1655.541768083948,3234657.013771384
